"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
763,"La Malquerida","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 53** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d3599900-Reviews-La_Malquerida-Tulum_Yucatan_Peninsula.html","45","45","45","45","$94 - $306","Mexicana, Latina, Mariscos, Centroamericana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Calle Centauro Sur Local 1 Esquina. Avenida Tulum Colonia Centro Restaurante
Cantina, Tulum 77780 México","","+52 984 745 4884","Calle Centauro Sur Local 1 Esquina. Avenida Tulum Colonia Centro","México","Tulum 77780,","Restaurante Cantina","-87.459389","20.211985",993,387,167,36,6,15
1210,"La Lunita","bar","","$$ - $$$","3","**N.º 33** de 64 Mexicana en San Pedro Cholula","-","https://www.tripadvisor.com.mx//Restaurant_Review-g609126-d4085801-Reviews-La_Lunita-San_Pedro_Cholula_Central_Mexico_and_Gulf_Coast.html","30","30","30","35","-","Mexicana, Bar, Pub","Almuerzo, Bebidas","-","Asiento, Servicio de mesa","Avenida Morelos esq 6 sur, San Pedro Cholula México","","+52 222 247 0011","Avenida Morelos esq 6 sur","México","San Pedro Cholula,","","-98.302689","19.059996",96,12,30,21,7,17
764,"Club de la Cerveza","bar","12:00 - 0:00","$$ - $$$","4.5"," **N.º 2** de 30 Cervecería en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d2443012-Reviews-Club_de_la_Cerveza-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","45","45","$71 - $165","Bar, Pub, Cervecería","Bebidas","-","-","5ta Avenida Norte Manzna 4 Lote 5 Local 7c, Entre 34 y 38 Norte edificio
Mimosa, Playa del Carmen 77710 México","contacto@clubdelacerveza.mx","+52 984 147 0635","5ta Avenida Norte Manzna 4 Lote 5 Local 7c, Entre 34 y 38 Norte","México","Playa del Carmen 77710,","edificio Mimosa","-87.066414","20.635056",921,542,115,17,4,10
765,"El Barracuda","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 71** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d1099792-Reviews-El_Barracuda-Puerto_Vallarta.html","45","45","45","45","-","-","-","-","-","Calle Paraguay 1290 Colonia 5 De Diciembre, Puerto Vallarta 48350 México","","+52 322 222 4034","Calle Paraguay 1290","México","Puerto Vallarta 48350,","Colonia 5 De Diciembre","-105.232117","20.619823",1129,429,227,63,23,17
766,"La Playa Xpuha","bar","10:00 - 18:00","$$ - $$$","4"," **N.º 2** de 2 Mexicana en Xpu-Ha","Certificado de ExcelenciaGanador en 2016, 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g499455-d1235275-Reviews-La_Playa_Xpu_Ha_Restaurant_Beach_Club-Xpu_Ha_Yucatan_Peninsula.html","40","40","40","45","$236 - $589","Mexicana, Caribeña, Bar, Mariscos","-","Apto para vegetarianos","-","Federal Route 307, Km 265, Xpu-Ha 77710 México","info@laplayaxpuha.com","+52 984 133 6701","Federal Route 307, Km 265","México","Xpu-Ha 77710,","","-87.257935","20.471624",638,215,151,65,28,42
767,"El Ciruelo","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 2** de 46 Mexicana en Tepoztlán","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g616313-d1032178-Reviews-El_Ciruelo-Tepoztlan_Central_Mexico_and_Gulf_Coast.html","40","40","35","45","$589 - $942","Mexicana, Latina","-","Apto para vegetarianos, Opciones veganas","-","Zaragoza 17, Tepoztlán México","","+52 739 395 1203","Zaragoza 17","México","Tepoztlán,","","-99.099403","18.986891",627,260,177,68,21,14
768,"Druidas","bar","","$$ - $$$","4","**N.º 444** de 450 Restaurantes en San Luis Potosí","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153477-d3347986-Reviews-Druidas-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html","40","40","45","45","-","-","Cena, Bebidas","-","Asiento, Servicio de mesa, Reservaciones","Avenida Venustiano Carranza 2076 1067 Col. Tequisquiapan, San Luis Potosí
78220 México","","","Avenida Venustiano Carranza 2076","México","San Luis Potosí 78220,","1067 Col. Tequisquiapan","-101.007378","22.149111",33,9,8,13,0,0
769,"Restaurante-Bar Caprichos(Luis)","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 4** de 9 Italiana en Tequisquiapan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1101793-d10275305-Reviews-Restaurante_Bar_Caprichos_Luis-Tequisquiapan_Central_Mexico_and_Gulf_Coast.html","45","45","40","0","$15 - $19","Mexicana, Italiana, Francesa","-","Apto para vegetarianos","-","Andador Juarez #5 Plaza Santa Rosa Centro, Tequisquiapan 76750 México","luissaldana1973@gmail.com","+52 414 273 0108","Andador Juarez #5","México","Tequisquiapan 76750,","Plaza Santa Rosa Centro","-99.892578","20.522734",26,11,6,7,1,0
770,"Tres Galeones","bar","Ver todos los horarios","$","4.5"," **N.º 75** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d10106406-Reviews-Tres_Galeones-Tulum_Yucatan_Peninsula.html","45","45","45","0","-","Mexicana, Mariscos","Cena, Almuerzo","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","I'm 8. 4 Almost in front of ADO, Tulum 77760 México","","+52 55 5419 3964","I'm 8. 4","México","Tulum 77760,","Almost in front of ADO","-87.464554","20.210476",102,29,6,0,4,0
771,"Burgues Urban Grill","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 2** de 6 Estadounidense en Celaya","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g777802-d8465022-Reviews-Burgues_Urban_Grill-Celaya_Central_Mexico_and_Gulf_Coast.html","45","45","40","0","$150 - $700","Estadounidense","Cena, Abierto hasta tarde, Bebidas, Almuerzo","-","-","Prolongación Hidalgo #210 Loc. 1 Col. Renacimiento Prolongacion Hidalgo #210
Loc. 1 Col. Renacimiento, Celaya 38044 México","atencionaclientes@burguesurbangrill.mx","+52 461 614 5259","Prolongación Hidalgo #210 Loc. 1 Col. Renacimiento","México","Celaya 38044,","Prolongacion Hidalgo #210 Loc. 1 Col. Renacimiento","-100.83403","20.520678",96,47,38,6,2,0
772,"Boules","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 2** de 22 Internacional en Ensenada","Certificado de ExcelenciaGanador en 2016","https://www.tripadvisor.com.mx//Restaurant_Review-g150770-d4699420-Reviews-Boules-Ensenada_Ensenada_Municipality_Baja_California.html","45","45","45","45","-","Internacional","Cena, Almuerzo","Apto para vegetarianos, Opciones sin gluten","-","Moctezuma 623, Ensenada, Municipio de Ensenada 22800 México","","+52 646 175 8769","Moctezuma 623","México","Ensenada, Municipio de Ensenada 22800,","","-116.627991","31.869816",75,40,20,5,0,1
773,"Tres Mentiras","bar","","$$ - $$$","4.5","**N.º 46** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d2528423-Reviews-Tres_Mentiras-Isla_Mujeres_Yucatan_Peninsula.html","45","45","45","45","-","Mexicana, Latina, Bar, Pub","Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos","-","Miguel Hidalgo 13 Centro - Supmza. 001, Isla Mujeres 77440 México","","+52 998 238 0691","Miguel Hidalgo 13","México","Isla Mujeres 77440,","Centro - Supmza. 001","-86.749611","21.258314",186,96,25,11,1,4
774,"Kaori","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 1** de 30 Japonesa en Santiago de Querétaro","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d2010015-Reviews-Kaori-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","40","$471 - $707","Japonesa, Sushi, Asiática","-","Opciones veganas","-","Boulevard Bernardo Quintana #508 Plaza 508, Colonia Arboledas, Santiago de
Querétaro 48312 México","","+52 442 245 3155","Boulevard Bernardo Quintana #508","México","Santiago de Querétaro 48312,","Plaza 508, Colonia Arboledas","-100.385521","20.613911",103,61,15,9,4,4
775,"Boston's Restaurant & Sports Bar","bar","","$$ - $$$","4","**N.º 2** de 8 Bar en Ciudad del Carmen","Certificado de ExcelenciaGanador en 2016","https://www.tripadvisor.com.mx//Restaurant_Review-g317140-d3683715-Reviews-Boston_s_Restaurant_Sports_Bar-Ciudad_del_Carmen_Yucatan_Peninsula.html","45","40","40","45","-","Bar, Pub","Almuerzo, Cena, Abierto hasta tarde","-","Entrega a domicilio, Comida para llevar, Asiento, Acceso para silla de ruedas,
Servicio de mesa, Reservaciones, Sirve alcohol","KM 2 No. 500, Fracc. Palmira, Ciudad del Carmen 24150 México","","+52 938 150 2467","KM 2 No. 500, Fracc. Palmira","México","Ciudad del Carmen 24150,","","-91.781158","18.64089",77,21,39,9,2,2
1373,"Don Burgues","food","","$","4","**N.º 26** de 68 Mexicana en Mexicali","-","https://www.tripadvisor.com.mx/Restaurant_Review-g154247-d10547148-Reviews-Don_Burgues-Mexicali_Baja_California.html","0","0","0","0","-","Mexicana, Comida rápida","Almuerzo, Cena","-","Acceso para silla de ruedas","Boulevard Benito Juarez 1199, Mexicali 21260 México","","2840384","Boulevard Benito Juarez 1199","México","Mexicali 21260,","","-115.448875","32.639339",15,3,6,5,0,0
776,"Sylvestre","bar","Ver todos los horarios","$$$$","4"," **N.º 305** de 4,995 Restaurantes en Ciudad de México","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8560500-Reviews-Sylvestre-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","-","-","Almuerzo, Cena, Bebidas","Apto para vegetarianos, Opciones sin gluten","Tarjetas de regalo disponibles, Reservaciones, Restaurante privado, Asiento,
Estacionamiento para clientes, Servicio de valet, Sirve alcohol, Bar completo,
Wi-Fi gratis, Acepta tarjetas de crédito, Servicio de mesa, Vino y cerveza","Calle Anatole France 74, Ciudad de México 11540 México","","+52 55 5281 2147","Calle Anatole France 74","México","Ciudad de México 11540,","","-99.197845","19.430626",241,90,64,25,11,18
777,"Bronze Gin & Beer Music Bar","bar","8:00 - 1:00","$$ - $$$","3.5"," **N.º 312** de 553 Mexicana en Playa del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d12134041-Reviews-Bronze_Gin_Beer_Music_Bar-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","40","0","$85 - $285","Comida rápida, Internacional, Mexicana","Abierto hasta tarde, Bebidas, Almuerzo, Cena","-","-","Calle 38 norte entre 5ta y Playa, Playa del Carmen 77710 México","bronzepdc@hotmail.com","+52 984 688 8075","Calle 38 norte","México","Playa del Carmen 77710,","entre 5ta y Playa","-87.107918","20.65568",30,8,7,2,2,4
778,"Joe Jack's Fish Shack","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 68** de 947 Restaurantes en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d816309-Reviews-Joe_Jack_s_Fish_Shack-Puerto_Vallarta.html","45","45","45","45","$236 - $707","-","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Comida para llevar, Sirve alcohol","Calle Basilio Badillo 212, Puerto Vallarta 48380 México","","+52 322 222 2099","Calle Basilio Badillo 212","México","Puerto Vallarta 48380,","","-105.23658","20.602234",3454,1319,597,146,43,14
779,"Sonora Grill Prime Puebla","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 18** de 365 Mexicana en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d14040997-Reviews-Sonora_Grill_Prime_Puebla-Puebla_Central_Mexico_and_Gulf_Coast.html","50","50","40","0","$700 - $800","Parrilla, Mexicana, Churrasquería","Almuerzo, Cena","-","-","Avenida Juarez 2706 Colonia La paz, Puebla 72160 México","","+52 222 688 4523","Avenida Juarez 2706 Colonia La paz","México","Puebla 72160,","","-98.220024","19.052504",112,75,13,3,2,4
780,"Pasaguero","bar","","$","3.5","**N.º 910** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8633952-Reviews-Pasaguero-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","40","0","-","Mexicana, Latina, Bar, Española, Pub","-","-","Asiento, Reservaciones, Sirve alcohol, Servicio de mesa","Motolinia 33 Colonia Centro Historico, Ciudad de México 06010 México","promociones@pasaguero.com.mx","55216112","Motolinia 33","México","Ciudad de México 06010,","Colonia Centro Historico","-99.137543","19.432959",34,10,12,5,1,4
781,"Samura Japanese Cuisine & Bar","bar","Ver todos los horarios","$$ - $$$","5"," **N.º 4** de 61 Japonesa en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d15106086-Reviews-Samura_Japanese_Cuisine_Bar-Cancun_Yucatan_Peninsula.html","45","50","45","0","-","Japonesa, Mariscos, Sushi, Asiática, Internacional","Almuerzo, Cena, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones sin gluten","-","Av. Xpuhil Sur M2 Lt25 SM19 Cancun Centro a un lado de Restaurante Marakame,
Cancún 77500 México","gerencia@samura.mx","+52 998 254 5555","Av. Xpuhil Sur M2 Lt25 SM19 Cancun Centro","México","Cancún 77500,","a un lado de Restaurante Marakame","-86.829605","21.144915",322,232,21,3,3,4
782,"La Catrina Restaurant & Bar","bar","7:00 - 23:00","$$ - $$$","4.5"," **N.º 22** de 298 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d10831521-Reviews-La_Catrina_Restaurant_Bar-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","50","45","0","$118 - $589","Mexicana, Mariscos, Española","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Paseo Del Pescador Playa El Medano, Cabo San Lucas 23410 México","","+52 624 143 9561","Paseo Del Pescador","México","Cabo San Lucas 23410,","Playa El Medano","-109.90538","22.887064",426,226,27,14,5,1
783,"Sirocco Restaurant & Tapas Bar","bar","Ver todos los horarios","$$ - $$$","4.5"," **N.º 11** de 171 Mexicana en Acapulco","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150787-d1032870-Reviews-Sirocco_Restaurant_Tapas_Bar-Acapulco_Pacific_Coast.html","45","45","40","45","$353 - $471","Mexicana, Mariscos, Mediterránea","-","Apto para vegetarianos, Opciones veganas","-","Avenida Escenica 120, Fracc. Lomas del Marqués Fracc. Lomas del Marques,
Acapulco 39880 México","","+52 744 433 3055","Avenida Escenica 120, Fracc. Lomas del Marqués","México","Acapulco 39880,","Fracc. Lomas del Marques","-99.842422","16.81571",430,238,75,38,18,15
784,"Fisher's","bar","9:30 - 21:00","$$ - $$$","4"," **N.º 202** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7215916-Reviews-Fisher_s-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","40","35","0","-","Mexicana, Mariscos, Fusión","Almuerzo, Brunch","-","Comida para llevar, Reservaciones, Asiento, Estacionamiento disponible,
Servicio de valet, Televisión, Sillitas altas disponibles, Acceso para silla
de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Servicio de mesa","Avenida Horacio 232 Esq. Taine, Ciudad de México 11530 México","fishersmedia@fishers.com.mx","+52 55 5531 6286","Avenida Horacio 232","México","Ciudad de México 11530,","Esq. Taine","-99.185173","19.432816",186,56,62,26,11,6
785,"Buffalo Wild Wings","bar","","$$ - $$$","3.5","**N.º 5** de 19 Estadounidense en Saltillo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150785-d10063427-Reviews-Buffalo_Wild_Wings-Saltillo_Northern_Mexico.html","35","40","30","0","-","Estadounidense, Comida rápida, Pub","Cena","-","Comida para llevar, Asiento, Estacionamiento disponible, Televisión, Acceso
para silla de ruedas, Sirve alcohol, Servicio de mesa","Boulevard Galerías 375-2, Saltillo 25279 México","","+52 844 305 0990","Boulevard Galerías 375-2","México","Saltillo 25279,","","-100.980049","25.45536",58,7,18,18,5,5
786,"Casa Frida Valle de Guadalupe","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 12** de 25 Mexicana en Valle de Guadalupe","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499403-d15044054-Reviews-Casa_Frida_Valle_de_Guadalupe-Valle_de_Guadalupe_Ensenada_Municipality_Baja_Cali.html","45","40","40","0","-","Mexicana, Bar de vinos","Almuerzo, Cena, Bebidas","-","Reservaciones, Asientos al aire libre, Asiento, Sirve alcohol, Bar completo,
Acepta tarjetas de crédito, Servicio de mesa, Estacionamiento privado gratis","Rancho San Marcos s/n El Porvenir, Municipio de Ensenada 22755 México","casafridavalle@gmail.com","+52 1 646 113 4836","Rancho San Marcos s/n","México","Municipio de Ensenada 22755,","El Porvenir","-116.679657","32.009235",50,12,5,7,3,1
787,"La Piña","bar","8:00 - 21:00","$","4.5"," **N.º 6** de 72 Mexicana en Bacalar","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1202648-d12291679-Reviews-La_Pina-Bacalar_Yucatan_Peninsula.html","45","50","45","0","$15 - $60","Mexicana, Latina, Saludable","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Av 3 206 Centro, Bacalar 77930 México","xilbana@hotmail.com","+52 983 834 2483","Av 3","México","Bacalar 77930,","206 Centro","-88.387794","18.68063",557,194,33,6,5,1
788,"El Madrigal","bar","8:00 - 22:30","$$$$","4.5"," **N.º 4** de 150 Mexicana en Cuernavaca","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150797-d1674914-Reviews-El_Madrigal-Cuernavaca_Central_Mexico_and_Gulf_Coast.html","45","45","40","50","$589 - $1,178","Mexicana, Internacional","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Sonora 115 Col. Vista Hermosa, Cuernavaca 62290 México","elmadrigal@elmadrigal.com.mx","+52 777 100 7700","Sonora 115","México","Cuernavaca 62290,","Col. Vista Hermosa","-99.214706","18.946054",537,323,110,33,9,7
789,"Troquet","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 28** de 80 Bar en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d10717892-Reviews-Troquet-Guadalajara_Guadalajara_Metropolitan_Area.html","45","45","40","0","-","Bar de vinos, Bar, Pub","Cena","-","Asiento, Servicio de mesa, Reservaciones, Acceso para silla de ruedas","Calle Buenos Aires 3084 B, Guadalajara 44639 México","","+52 33 3641 7028","Calle Buenos Aires 3084 B","México","Guadalajara 44639,","","-103.388863","20.696667",13,4,4,3,0,0
790,"Freedom Sports & Fun Bar","bar","","$","2.5","**N.º 13** de 14 Estadounidense en Naucalpan de Juárez","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499418-d2271381-Reviews-Freedom_Sports_Fun_Bar-Naucalpan_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$99 - $100","Estadounidense","-","-","-","Calle Pafnuncio Padilla 7 Circuito centro comercial satelite, Naucalpan de
Juárez 53100 México","gpofreedom@gmail.com","+52 55 5393 3303","Calle Pafnuncio Padilla 7","México","Naucalpan de Juárez 53100,","Circuito centro comercial satelite","-99.233192","19.513184",8,0,3,1,2,2
791,"Cerveceria Chapultepec","bar","","$","3","**N.º 340** de 553 Mexicana en Playa del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d15030266-Reviews-Cerveceria_Chapultepec-Playa_del_Carmen_Yucatan_Peninsula.html","40","35","45","0","-","Mexicana, Cervecería, Gastropub, Latina, Bar, Española","Cena","-","Asiento, Sirve alcohol, Servicio de mesa, Bar completo","Av. 10, s/n Esq con calle 14, Playa del Carmen 77720 México","","+52 777 201 4148","Av. 10, s/n","México","Playa del Carmen 77720,","Esq con calle 14","-87.072021","20.629082",169,36,22,11,11,32
792,"Barbossa Seafood & bar","bar","","$$ - $$$","3.5","**N.º 393** de 483 Mexicana en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d13826674-Reviews-Barbossa_Seafood_bar-Cancun_Yucatan_Peninsula.html","0","0","0","0","$60 - $280","Caribeña, Mariscos, Mexicana","-","-","Asiento, Servicio de mesa","Avenida Cumbres Sm310 Plaza Sky cumbres, Cancún 77560 México","","+52 998 240 9822","Avenida Cumbres Sm310","México","Cancún 77560,","Plaza Sky cumbres","-86.851326","21.112587",17,8,2,2,1,3
793,"Mi Cocina","bar","Ver todos los horarios","$$$$","4.5"," **N.º 30** de 188 Mexicana en San José Del Cabo","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152516-d1032724-Reviews-Mi_Cocina-San_Jose_del_Cabo_Los_Cabos_Baja_California.html","45","45","40","45","$236 - $1,531","Mexicana, Mariscos, Internacional","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Boulevard Antonio Mijares 4 Centro Historico, San José Del Cabo 23400 México","reservacion@casanatalia.com","+52 624 146 7100","Boulevard Antonio Mijares 4","México","San José Del Cabo 23400,","Centro Historico","-109.694267","23.062855",397,179,68,21,12,6
794,"La Hach Tizimin","bar","","$$ - $$$","4.5","**N.º 1** de 4 Italiana en Tizimín","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1632775-d10488174-Reviews-La_Hach_Tizimin-Tizimin_Yucatan_Peninsula.html","0","0","0","0","$100 - $1,000","Italiana, Mexicana, Mariscos, Mediterránea, Argentina, Sudamericana","-","-","Servicio de mesa, Asiento, Acceso para silla de ruedas","Calle 53 #484 Entre 50-A Colonia Centro, Tizimín 97700 México","","+52 999 121 4193","Calle 53 #484","México","Tizimín 97700,","Entre 50-A Colonia Centro","-88.152603","21.142393",16,9,5,1,0,0
795,"La Bodega","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 262** de 2,114 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3138686-Reviews-La_Bodega-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","40","$8 - $300","Mexicana, Bar","-","Apto para vegetarianos","-","Popocatépetl 25, esq. Ámsterdam Hopódromo Condesa, Ciudad de México 06100
México","","+52 55 5525 2473","Popocatépetl 25, esq. Ámsterdam","México","Ciudad de México 06100,","Hopódromo Condesa","-99.16716","19.415268",104,48,20,7,3,7
796,"Cantina La Manifestación","bar","","$$ - $$$","4.5","**N.º 268** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10264535-Reviews-Cantina_La_Manifestacion-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","45","45","0","-","Mexicana","Almuerzo, Cena","-","Reservaciones, Asiento, Acceso para silla de ruedas, Servicio de mesa","De La República 135 Local 1, Ciudad de México 06030 México","","55663502","De La República 135","México","Ciudad de México 06030,","Local 1","-99.151917","19.435789",40,17,13,1,1,0
797,"Pipiripau","bar","Ver todos los horarios","$$ - $$$","4"," **N.º 79** de 336 Mexicana en Mérida","Certificado de ExcelenciaGanador en 2017 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d9593303-Reviews-Pipiripau-Merida_Yucatan_Peninsula.html","35","40","40","0","-","Mexicana, Latina, Bar, Pub, Caribeña","-","-","Asientos al aire libre, Asiento, Sirve alcohol, Bar completo, Acepta
Mastercard, Acepta Visa, Pagos digitales, Wi-Fi gratis, Comida para llevar,
Acepta tarjetas de crédito, Servicio de mesa, Música en vivo","Calle 62 Entre 53 y 55 Col Centro, Mérida 97000 México","","+52 999 291 6255","Calle 62","México","Mérida 97000,","Entre 53 y 55 Col Centro","-89.623573","20.971392",76,26,18,4,2,2
798,"Restaurante-Bar El Amaranto","bar","","$$ - $$$","4","**N.º 1,038** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d12414832-Reviews-Restaurante_Bar_El_Amaranto-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","35","0","-","Mexicana","Cena","-","Asiento, Servicio de mesa, Acceso para silla de ruedas","Calle Monte Albán 639, Col. Letran Valle, Del. Benito Juárez, Ciudad de México
03650 México","","+52 55 5539 5074","Calle Monte Albán 639, Col. Letran Valle, Del. Benito Juárez","México","Ciudad de México 03650,","","-99.153618","19.374531",14,5,6,2,0,1
811,"Cocks Cantina","bar","","$$ - $$$","4.5","**N.º 157** de 298 Mexicana en Cabo San Lucas","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d12706867-Reviews-Cocks_Cantina-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","35","0","0","$236 - $707","Bar, Internacional, Mexicana, Pub","-","-","-","Avenida Del Pescador S/N Local en la esquina, Cabo San Lucas 23479 México","admin@cocks.mx","+52 55 2564 5996","Avenida Del Pescador S/N","México","Cabo San Lucas 23479,","Local en la esquina","-109.906242","22.889267",23,13,5,2,1,0
799,"La Cervecería de Barrio Alameda","bar","","$$ - $$$","4","**N.º 271** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10168609-Reviews-La_Cerveceria_de_Barrio_Alameda-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","40","35","0","-","Mexicana, Latina, Mariscos, Bar","Almuerzo, Cena","-","Comida para llevar, Asiento, Sirve alcohol, Wi-Fi gratis, Servicio de mesa,
Reservaciones","Avenida Juarez 64 Cuauhtemoc, Colonia Centro, Ciudad de México 06000 México","","+52 55 5512 2924","Avenida Juarez 64","México","Ciudad de México 06000,","Cuauhtemoc, Colonia Centro","-99.145836","19.434792",145,25,48,11,12,5
800,"Leyendas del Rock Video Bar","bar","","$$ - $$$","3.5","**N.º 737** de 1,170 Restaurantes en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d8364470-Reviews-Leyendas_del_Rock_Video_Bar-Guadalajara_Guadalajara_Metropolitan_Area.html","40","35","40","0","-","-","-","-","Acceso para silla de ruedas, Asiento, Servicio de mesa","Avenida de Las Americas 161 Casi Esquina Con Av Mexico, Guadalajara 44600
México","","+52 33 3616 1160","Avenida de Las Americas 161","México","Guadalajara 44600,","Casi Esquina Con Av Mexico","-103.373779","20.679749",13,3,4,3,0,2
801,"LOFT Bar Condesa","bar","","$$ - $$$","3.5","**N.º 1,420** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d11648613-Reviews-LOFT_Bar_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$200 - $450","Mexicana, Centroamericana, Sudamericana","-","-","-","Av. Nuevo León 67, Col. Condesa, Ciudad de México 06100 México","info@loftbar.com.mx","+52 55 4482 9005","Av. Nuevo León 67, Col. Condesa","México","Ciudad de México 06100,","","-99.171806","19.413158",9,2,3,1,1,1
