"id","nombre","keywords","horario","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
338,"La Piqueria Mezcaleria","cerveza","Ver todos los horarios","4"," **N.º 59** de 227 Mexicana en San Luis Potosí","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153477-d3330878-Reviews-La_Piqueria_Mezcaleria-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html","30","35","35","45","$94 - $211","Mexicana, Pub, Bar","Bebidas","-","-","Calle Independencia # 1190 Centro Historico San Luis Potosi, San Luis Potosí
78349 México","contacto@lapiqueria.com","+52 444 168 0139","Calle Independencia # 1190","México","San Luis Potosí 78349,","Centro Historico San Luis Potosi","-100.978958","22.148689",63,24,14,14,1,6
339,"Mad Hatter's","cerveza","","4","**N.º 1** de 2 Bares y pubs en Tampico","-","https://www.tripadvisor.com.mx//Restaurant_Review-g151928-d12921545-Reviews-Mad_Hatter_s-Tampico_Northern_Mexico.html","0","0","0","0","$100 - $1,100","Bar, Pub","-","-","-","Calle Paseo Framboyanes 101, Tampico 89330 México","","+52 833 228 0120","Calle Paseo Framboyanes 101","México","Tampico 89330,","","-97.873993","22.274378",7,3,2,0,1,0
340,"Amati Cafe","cerveza","Ver todos los horarios","4"," **N.º 15** de 20 Latina en Morelia","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152771-d5519414-Reviews-Amati_Cafe-Morelia_Central_Mexico_and_Gulf_Coast.html","45","40","45","0","-","Latina, Bar, Española","Desayuno, Almuerzo, Cena, Bebidas","-","Asiento, Servicio de mesa","Calle Melchor Ocampo 310, Morelia 58000 México","","","Calle Melchor Ocampo 310","México","Morelia 58000,","","-101.194191","19.703911",22,8,8,2,1,2
341,"McCarthy's Irish Pub - Ciudad del Carmen","cerveza","13:00 - 3:00","3.5"," **N.º 11** de 39 Mexicana en Ciudad del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g317140-d8023615-Reviews-McCarthy_s_Irish_Pub_Ciudad_del_Carmen-Ciudad_del_Carmen_Yucatan_Peninsula.html","40","35","40","0","-","Pub, Bar, Mexicana","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Asiento, Bar completo, Vino y cerveza, Wi-Fi gratis, Acepta tarjetas de
crédito, Servicio de mesa, Música en vivo","Avenida Concordia 300, Ciudad del Carmen 24179 México","sugerencias@mccarthyspub.com.mx","+52 938 286 0687","Avenida Concordia 300","México","Ciudad del Carmen 24179,","","-91.814812","18.64929",64,12,18,19,6,4
342,"Frankfurt Nápoles","cerveza","13:00 - 2:00","3.5"," **N.º 9** de 19 Alemana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10891014-Reviews-Frankfurt_Napoles-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$2,807 - $9,356","Alemana","Almuerzo, Cena","-","-","Georgia 42 Entre Nebraska y Nueva York, Ciudad de México 03840 México","","68239049","Georgia 42","México","Ciudad de México 03840,","Entre Nebraska y Nueva York","-99.175179","19.38958",9,1,5,0,3,0
343,"La Mocte","cerveza","Ver todos los horarios","4.5"," **N.º 17** de 100 Mexicana en Tuxtla Gutiérrez","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g317142-d9721881-Reviews-La_Mocte-Tuxtla_Gutierrez_Southern_Mexico.html","45","40","45","0","-","Mexicana, Latina, Española","Almuerzo, Cena, Brunch","-","Comida para llevar, Reservaciones, Asiento, Servicio de valet, Estacionamiento
privado gratis, Acceso para silla de ruedas, Sirve alcohol, Acepta American
Express, Acepta Mastercard, Acepta Visa, Wi-Fi gratis, Servicio de mesa,
Asientos al aire libre, Estacionamiento disponible, Estacionamiento para
clientes, Televisión, Sillitas altas disponibles, Bar completo","Boulevard Comitan Con Circunv Tapachula Entre 14a y 15a Pte. Colonia
Moctezuma, Tuxtla Gutiérrez 29030 México","","+52 961 279 7695","Boulevard Comitan Con Circunv","México","Tuxtla Gutiérrez 29030,","Tapachula Entre 14a y 15a Pte. Colonia Moctezuma","-93.13028","16.755459",163,114,34,5,2,3
344,"O'Higgins Irish Pub","cerveza","","4","**N.º 2** de 3 Cervecería en Irapuato","-","https://www.tripadvisor.com.mx//Restaurant_Review-g858499-d7653865-Reviews-O_Higgins_Irish_Pub-Irapuato_Central_Mexico_and_Gulf_Coast.html","40","35","35","0","-","Pub, Cervecería","-","-","Servicio de mesa, Asiento","Av. Manuel Gomez Morin Plaza Murano, Irapuato México","","+52 462 135 6173","Av. Manuel Gomez Morin","México","Irapuato,","Plaza Murano","-101.37709","20.68622",36,8,17,9,1,0
345,"Kolobok Santa Maria","cerveza","Ver todos los horarios","4.5"," **N.º 2** de 6 Rusa en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d2022161-Reviews-Kolobok_Santa_Maria-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","40","-","Rusa","Almuerzo, Cena, Abierto hasta tarde, Bebidas","Apto para vegetarianos","-","Calle Salvador Diaz Miron # 87 Esquina con Dr. Atl , Colonia Santa María la
Ribera, Ciudad de México 06400 México","direccion@kolobok.com.mx","+52 55 5541 7085","Calle Salvador Diaz Miron # 87","México","Ciudad de México 06400,","Esquina con Dr. Atl , Colonia Santa María la Ribera","-99.156197","19.448698",232,123,75,15,4,3
346,"McCarthy's Irish Pub - Puerto Vallarta","cerveza","","3","**N.º 78** de 82 Estadounidense en Puerto Vallarta","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d13279800-Reviews-McCarthy_s_Irish_Pub_Puerto_Vallarta-Puerto_Vallarta.html","30","30","30","0","$45 - $190","Bar, Pub, Estadounidense, Irlandesa","-","-","Asiento, Televisión, Sirve alcohol, Servicio de mesa, Acceso para silla de
ruedas","Boulevard Francisco Medina Ascencio #2485. Plaza Peninsula, Puerto Vallarta
48300 México","","+52 33 1182 3396","Boulevard Francisco Medina Ascencio #2485. Plaza Peninsula","México","Puerto Vallarta 48300,","","-105.23925","20.647234",73,9,5,2,5,4
347,"Salon Corona","cerveza","Ver todos los horarios","3.5"," **N.º 1,094** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7820533-Reviews-Salon_Corona-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","0","-","Mexicana, Bar, Pub","Almuerzo, Cena","-","Asiento, Sirve alcohol, Servicio de mesa","Avenue. Paseo de la Reforma 449, Ciudad de México México","","+52 55 5533 9928","Avenue. Paseo de la Reforma 449","México","Ciudad de México,","","-99.172478","19.425285",44,4,12,17,3,3
348,"Taqueria El Caifan","cerveza","","4","**N.º 90** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7905596-Reviews-Taqueria_El_Caifan-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","-","Mexicana, Latina, Comida rápida","Almuerzo, Cena, Brunch","-","Comida para llevar, Asiento, Televisión, Acceso para silla de ruedas, Sirve
alcohol, Wi-Fi gratis, Acepta tarjetas de crédito, Servicio de mesa","Juarez 84 Esquina Balderas, Ciudad de México 06500 México","","55122512","Juarez 84","México","Ciudad de México 06500,","Esquina Balderas","-99.147141","19.435202",397,126,105,46,5,5
349,"Salute Food & Bar","cerveza","0:00 - 23:59","4.5"," **N.º 19** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d11667203-Reviews-Salute_Food_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","0","-","Mexicana, Bar","Abierto hasta tarde, Bebidas","-","Comida para llevar, Asiento, Acceso para silla de ruedas, Sirve alcohol, Bar
completo, Wi-Fi gratis, Servicio de mesa","Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico, Ciudad de México
15620 México","info@grupobgm.com.mx","+52 55 5540 0686","","México","Ciudad de México 15620,","Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico","-99.078377","19.423998",750,392,75,15,5,28
350,"Hooters Cozumel","cerveza","Ver todos los horarios","4.5"," **N.º 19** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d4886031-Reviews-Hooters_Cozumel-Cozumel_Yucatan_Peninsula.html","40","45","35","40","-","Mexicana, Estadounidense, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones sin gluten","-","Av. Rafael Melgar, Plaza Punta Langosta, Cozumel 77660 México","hotline@hooterscancun.com","+52 987 869 1465","Av. Rafael Melgar, Plaza Punta Langosta","México","Cozumel 77660,","","-86.954636","20.507338",842,343,115,55,18,28
351,"El Grifo Tulum","cerveza","","5","**N.º 140** de 283 Mexicana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d14066552-Reviews-El_Grifo_Tulum-Tulum_Yucatan_Peninsula.html","0","0","0","0","$117 - $2,339","Mexicana, Bar, Pub","-","-","-","Avenida Tulum esquina Orion Norte, Tulum 77760 México","elgrifotulum@gmail.com","+52 1 984 247 0733","Avenida Tulum","México","Tulum 77760,","esquina Orion Norte","-87.460854","20.211964",14,9,2,0,0,0
352,"El Almacen del Bife","cerveza","Ver todos los horarios","4"," **N.º 3** de 29 Churrasquería en Zapopan","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1006488-d3646772-Reviews-El_Almacen_del_Bife-Zapopan_Guadalajara_Metropolitan_Area.html","45","40","40","45","$585 - $936","Churrasquería, Argentina, Parrilla","Almuerzo, Cena, Abierto hasta tarde","-","-","Plaza Andares Puerta de Hierro 4965, Zapopan 45116 México","","+52 33 3611 2669","Plaza Andares","México","Zapopan 45116,","Puerta de Hierro 4965","-103.412872","20.710085",583,280,167,63,14,13
353,"Sunset Restaurant & Bar","cerveza","Ver todos los horarios","4.5"," **N.º 25** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d4607673-Reviews-Sunset_Restaurant_Bar-Cozumel_Yucatan_Peninsula.html","45","45","45","50","-","Mexicana, Bar, Caribeña, Mariscos","Almuerzo, Desayuno, Cena, Brunch, Bebidas","Apto para vegetarianos","-","Carretera Costera Sur Km. 3.2, Cozumel 77622 México","restaurant@sanddollarsports.com","+52 987 871 5651","Carretera Costera Sur Km. 3.2","México","Cozumel 77622,","","-86.970062","20.48555",326,115,49,9,4,1
354,"La Rugula","cerveza","Ver todos los horarios","4.5"," **N.º 5** de 35 Bar en San Luis Potosí","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153477-d6196852-Reviews-La_Rugula-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html","45","45","45","0","-","Bar","Cena","-","Reservaciones, Asiento, Servicio de mesa","Bolívar #240 Zona Centro Histórico Entre Las Calles Obregon y Arista, San Luis
Potosí México","","+52 444 122 5111","Bolívar #240 Zona Centro Histórico","México","San Luis Potosí,","Entre Las Calles Obregon y Arista","-100.98156","22.1521",52,40,8,2,1,1
355,"Mango Y Chile","cerveza","Ver todos los horarios","4.5"," **N.º 2** de 15 Café en Bacalar","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1202648-d10630405-Reviews-Mango_Y_Chile-Bacalar_Yucatan_Peninsula.html","50","45","45","0","$15 - $120","Café, Internacional, Saludable","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida 3 Fuerte San Felipe Entre calles 22 y 24, Bacalar 77930 México","mangoychileblog@gmail.com","+52 983 688 2000","Avenida 3 Fuerte San Felipe","México","Bacalar 77930,","Entre calles 22 y 24","-88.388756","18.677368",496,174,37,12,5,3
356,"EL Hornito Argento","cerveza","0:30 - 23:00","4.5"," **N.º 3** de 4 Argentina en Isla Holbox","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d7890656-Reviews-El_Hornito_Argento-Holbox_Island_Yucatan_Peninsula.html","45","40","40","0","$100 - $390","Argentina","-","Apto para vegetarianos","-","Calle Tiburon Ballena 10 Zocalo principal, Isla Holbox 77310 México","","+52 984 208 5664","Calle Tiburon Ballena 10","México","Isla Holbox 77310,","Zocalo principal","-87.379166","21.523369",338,113,78,24,3,7
357,"Los Tabernacos Sports Bar and Lounge","cerveza","Ver todos los horarios","4.5"," **N.º 50** de 554 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d2347923-Reviews-Los_Tabernacos_Sports_Bar_and_Lounge-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","45","50","$84 - $251","Mexicana, Bar, Pub, Canadiense","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","10 ième Rue entre les Avenues 10 et 15 Calle 10 entre la 10 y 15 Avenida,
Playa del Carmen 77710 México","info@LosTabernacos.com","+52 984 147 2349","10 ième Rue entre les Avenues 10 et 15","México","Playa del Carmen 77710,","Calle 10 entre la 10 y 15 Avenida","-87.073471","20.62755",1050,221,54,13,11,15
358,"Jardin Nebulosa","cerveza","Ver todos los horarios","5"," **N.º 1** de 9 Mexicana en San Sebastián del Oeste","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g2080701-d13360883-Reviews-Jardin_Nebulosa-San_Sebastian_del_Oeste.html","50","50","50","0","-","Cervecería, Mexicana","Desayuno, Almuerzo, Cena, Brunch","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Calle General Aguirre 110, San Sebastián del Oeste 46990 México","jardinnebulosa@proyectonebulosa.com","+52 322 297 3190","Calle General Aguirre 110","México","San Sebastián del Oeste 46990,","","-104.857697","20.762136",83,46,1,1,0,0
359,"Puro Corazón","cerveza","Ver todos los horarios","4.5"," **N.º 40** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d2533835-Reviews-Puro_Corazon-Tulum_Yucatan_Peninsula.html","45","45","40","45","$234 - $702","Caribeña, Latina, Bar, Centroamericana, Mexicana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Boca Paila km. 5.5 entre Punta Piedra y Zamas, Tulum 77717 México","purocorazontulum@gmail.com","+52 984 186 1152","Boca Paila km. 5.5","México","Tulum 77717,","entre Punta Piedra y Zamas","-87.44696","20.17646",423,177,79,20,9,4
360,"Cafe Bizarro-Roma","cerveza","Ver todos los horarios","4"," **N.º 459** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d794714-Reviews-Cafe_Bizarro_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","45","45","$117 - $234","Mexicana","Desayuno, Almuerzo, Cena","-","-","Ciudad de México México","","52643411","","México","Ciudad de México,","","-99.166817","19.416595",43,11,23,3,2,0
361,"Salciccium Tulum","cerveza","","4.5","**N.º 13** de 60 Italiana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d7133764-Reviews-Salciccium_Tulum-Tulum_Yucatan_Peninsula.html","45","45","45","45","-","Italiana, Mexicana, Comida rápida, Parrilla, Hawaiana","Almuerzo, Cena, Brunch, Desayuno","Apto para vegetarianos, Opciones veganas","-","Calle Yalku, Mza 10 Lote 3, Local 8 y 9, Tulum 77780 México","info@salciccium.com","+52 984 871 2780","Calle Yalku, Mza 10","México","Tulum 77780,","Lote 3, Local 8 y 9","-87.435577","20.217293",241,118,42,10,1,4
426,"Dzalbay Cantina Bar","cerveza","Ver todos los horarios","4.5"," **N.º 55** de 335 Mexicana en Mérida","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d8697421-Reviews-Dzalbay_Cantina-Merida_Yucatan_Peninsula.html","40","45","45","0","$60 - $120","Mexicana, Bar, Pub, Gastropub","Almuerzo, Cena","-","-","Calle 64 x 53, Mérida 97000 México","info@dzalbaycantina.com","+52 999 490 0438","Calle 64 x 53","México","Mérida 97000,","","-89.624962","20.972776",51,16,11,2,0,1
362,"PATRIA","cerveza","","4","**N.º 47** de 174 Mexicana en Morelia","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152771-d8566285-Reviews-PATRIA-Morelia_Central_Mexico_and_Gulf_Coast.html","40","40","35","0","$200 - $500","Mexicana, Churrasquería","-","-","Reservaciones, Asiento, Sirve alcohol, Servicio de mesa","Avenida Acueducto No. 25 Antes Hotel Acueducto, Morelia 58230 México","patria.mx.2015@gmail.com","+52 443 312 4859","Avenida Acueducto No. 25","México","Morelia 58230,","Antes Hotel Acueducto","-101.177727","19.69894",33,10,12,6,0,3
363,"Caiman Tugurio","cerveza","Ver todos los horarios","4.5"," **N.º 69** de 554 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d3303377-Reviews-Caiman_Tugurio-Playa_del_Carmen_Yucatan_Peninsula.html","45","40","45","45","$117 - $211","Latina, Bar, Pub, Mexicana","-","Apto para vegetarianos, Opciones veganas","-","Calle 24 entre 1a y 5a Av. Entre 1ra y 5ta Avenida, Playa del Carmen 77710
México","","+52 984 147 1695","Calle 24 entre 1a y 5a Av.","México","Playa del Carmen 77710,","Entre 1ra y 5ta Avenida","-87.068787","20.631424",215,77,44,12,6,3
364,"El Gnomo","cerveza","Ver todos los horarios","4.5"," **N.º 207** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d785728-Reviews-El_Gnomo-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","45","$94 - $187","Mexicana, Comida rápida","Almuerzo, Cena","-","-","Av. Universidad 1894 Local 2 Col. Oxtopulco, Ciudad de México 04318 México","","56582144","Av. Universidad 1894 Local 2","México","Ciudad de México 04318,","Col. Oxtopulco","-99.181511","19.341955",83,45,22,6,0,2
365,"Tres Mentiras","cerveza","","4.5","**N.º 46** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d2528423-Reviews-Tres_Mentiras-Isla_Mujeres_Yucatan_Peninsula.html","45","45","45","45","-","Mexicana, Latina, Bar, Pub","Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos","-","Miguel Hidalgo 13 Centro - Supmza. 001, Isla Mujeres 77440 México","","+52 998 238 0691","Miguel Hidalgo 13","México","Isla Mujeres 77440,","Centro - Supmza. 001","-86.749611","21.258314",186,96,25,11,1,4
366,"La Divina","cerveza","Ver todos los horarios","4.5"," **N.º 9** de 316 Mexicana en Monterrey","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150782-d6778069-Reviews-La_Divina-Monterrey_Northern_Mexico.html","45","45","45","0","-","Mexicana, Bar, Latina","Cena, Almuerzo","-","Reservaciones, Asiento, Servicio de valet, Acceso para silla de ruedas, Sirve
alcohol, Bar completo, Vino y cerveza, Acepta American Express, Acepta
Mastercard, Acepta Visa, Solo pago en efectivo, Wi-Fi gratis, Servicio de
mesa, Comida para llevar, Televisión","Diego De Montemayor 507, Monterrey 64000 México","info@ladivinamonterrey.com","+52 81 8040 2278","Diego De Montemayor 507","México","Monterrey 64000,","","-100.305901","25.671333",114,65,32,7,2,1
367,"St. James","cerveza","","4.5","**N.º 8** de 15 Internacional en Aguascalientes","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153976-d11659410-Reviews-St_James-Aguascalientes_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Internacional","-","-","-","Boulevard Luis Donaldo Colosio # 408, Aguascalientes 20115 México","","+52 449 548 7224","Boulevard Luis Donaldo Colosio # 408","México","Aguascalientes 20115,","","-102.312447","21.92404",6,4,2,0,0,0
368,"Dublin Irish Pub","cerveza","","4.5","**N.º 27** de 100 Mexicana en Saltillo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150785-d10823063-Reviews-Dublin_Irish_Pub-Saltillo_Northern_Mexico.html","0","0","0","0","$70 - $200","Estadounidense, Irlandesa, Mexicana","-","-","Servicio de mesa, Asiento","Calle Zaragoza # 246 Zona Centro, Saltillo 25000 México","","+52 844 481 7013","Calle Zaragoza # 246","México","Saltillo 25000,","Zona Centro","-101.00029","25.422756",16,7,6,2,0,0
369,"Casa Cervecera Tierra Blanca","cerveza","Ver todos los horarios","5"," **N.º 6** de 14 Cervecería en Oaxaca","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d12027723-Reviews-Casa_Cervecera_Tierra_Blanca-Oaxaca_Southern_Mexico.html","0","0","0","0","$40 - $250","Cervecería, Pub","Cena","-","-","Martires de Tacubaya #517 Colonia Centro, Oaxaca 68000 México","contacto@cervezatierrablanca.com","+52 951 132 8345","Martires de Tacubaya #517","México","Oaxaca 68000,","Colonia Centro","-96.717331","17.046061",6,5,1,0,0,0
370,"St. James","cerveza","","4.5","**N.º 8** de 15 Internacional en Aguascalientes","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153976-d11659410-Reviews-St_James-Aguascalientes_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Internacional","-","-","-","Boulevard Luis Donaldo Colosio # 408, Aguascalientes 20115 México","","+52 449 548 7224","Boulevard Luis Donaldo Colosio # 408","México","Aguascalientes 20115,","","-102.312447","21.92404",6,4,2,0,0,0
371,"Adán y Chela","cerveza","Ver todos los horarios","5"," **N.º 3** de 15 Parrilla en San Cristóbal de las Casas","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150802-d20114153-Reviews-Adan_y_Chela-San_Cristobal_de_las_Casas_Southern_Mexico.html","0","0","0","0","$90 - $250","Parrilla, Contemporánea, Restaurantes cerveceros","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Calle Profesora Maria Adelina Flores 16, San Cristóbal de las Casas 29230
México","disfruta@adanychela.com.mx","+52 967 678 5385","Calle Profesora Maria Adelina Flores 16","México","San Cristóbal de las Casas 29230,","","-92.635117","16.738295",4,4,0,0,0,0
372,"Sonora Grill","cerveza","Ver todos los horarios","4.5"," **N.º 11** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4765793-Reviews-Sonora_Grill_Amores-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","40","40","0","$200 - $350","Mexicana, Parrilla, Churrasquería","Almuerzo, Cena","-","-","Calle Pilares 231, Ciudad de México 03100 México","contacto@sggroup.com.mx","+52 55 5559 5135","Calle Pilares 231","México","Ciudad de México 03100,","","-99.167793","19.378132",196,145,28,5,4,4
373,"La Opera Bar","cerveza","Ver todos los horarios","4"," **N.º 119** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d2018852-Reviews-La_Opera_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","35","45","-","Mexicana, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Reservaciones, Asiento, Acceso para silla de ruedas, Sirve alcohol, Bar
completo, Acepta tarjetas de crédito, Servicio de mesa, Música en vivo","Calle 5 de Mayo 10 Col. Alameda Central, Ciudad de México 01030 México","","+52 55 5512 8959","Calle 5 de Mayo 10","México","Ciudad de México 01030,","Col. Alameda Central","-99.139381","19.434628",657,177,198,78,19,23
374,"Cervecería de Barrio Polanco","cerveza","","4","**N.º 720** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d11715973-Reviews-Cerveceria_de_Barrio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","40","35","0","-","Mexicana","Cena","-","Asiento, Servicio de mesa, Reservaciones, Acceso para silla de ruedas","Calle Euler 145 Col. San Miguel Chapultepec, Miguel Hidalgo, Ciudad de México
11560 México","","","Calle Euler 145","México","Ciudad de México 11560,","Col. San Miguel Chapultepec, Miguel Hidalgo","-99.182938","19.43261",26,7,10,6,1,1
375,"Celtics Pub Condesa","cerveza","13:30 - 2:30","3.5"," **N.º 152** de 305 Bar en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4496371-Reviews-Celtics_Pub_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","50","-","Bar, Pub","Almuerzo, Cena, Bebidas","-","Sirve alcohol, Reservaciones, Asiento","Avenida Tamaulipas 36, Ciudad de México 06100 México","","+52 55 5211 9081","Avenida Tamaulipas 36","México","Ciudad de México 06100,","","-99.172569","19.41284",51,11,14,9,5,4
376,"URANI CAFETERÍA & HELADERÍA","cerveza","Ver todos los horarios","4.5"," **N.º 7** de 28 Mexicana en Uruapan","-","https://www.tripadvisor.com.mx//Restaurant_Review-g658423-d6945383-Reviews-Urani-Uruapan_Central_Mexico_and_Gulf_Coast.html","40","35","40","0","$8 - $200","Mexicana, Bar, Café, Cervecería","-","Apto para vegetarianos","-","PASEO LAZARO CARDENAS 1171 FRENTE A MUEBLES DICO, Uruapan 60185 México","tafolla_tom@hotmail.com","+52 452 519 0999","PASEO LAZARO CARDENAS 1171","México","Uruapan 60185,","FRENTE A MUEBLES DICO","-102.053558","19.407797",105,80,19,3,2,1
377,"La Cervecería del Barrio","cerveza","","4","**N.º 324** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10201752-Reviews-La_Cerveceria_del_Barrio-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","35","0","-","Mexicana, Mariscos","-","-","Asiento, Servicio de mesa, Comida para llevar, Reservaciones","Blvd. Manuel Avila Camacho, 5 Centro Comercial Toreo Parque Central, Local
L-201, Lomas de Sotelo, Ciudad de México 53390 México","","","Blvd. Manuel Avila Camacho, 5","México","Ciudad de México 53390,","Centro Comercial Toreo Parque Central, Local L-201, Lomas de Sotelo","-99.219276","19.455065",55,17,16,8,3,1
378,"Revolución Pancho Villa","cerveza","Ver todos los horarios","3.5"," **N.º 111** de 283 Mexicana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d9618841-Reviews-Revolucion_Pancho_Villa-Tulum_Yucatan_Peninsula.html","40","40","35","0","$7 - $40","Mexicana, Caribeña, Latina, Bar, Mariscos","Desayuno, Cena, Almuerzo, Brunch, Abierto hasta tarde, Bebidas","-","-","Carretera Tulum Ruina S/N al lado de playa Paraiso, Tulum 77717 México","reservaspancho@gmail.com","+52 1 248 153 7102","Carretera Tulum Ruina S/N","México","Tulum 77717,","al lado de playa Paraiso","-87.431396","20.205801",211,40,37,17,14,14
